START DATE,END DATE,EVENT,TYPE,,,,,
1/2/2014,1/3/2014,Quadrantids Meteor Shower,MS,,,,Meteor Shower,MS
3/20/2014,3/20/2014,March Equinox,E,,,,Equinox,E
4/15/2014,4/15/2014,Total Lunar Eclipse,L,,,,Lunar Eclipse,LE
4/22/2014,4/23/2014,Lyrids Meteor Shower,MS,,,,Solar Eclipse,SE
4/29/2014,4/29/2014,Annular Solar Eclipse,SE,,,,,
5/5/2014,5/6/2014,Eta Aquarids Meteor Shower,MS,,,,,
7/28/2014,7/29/2014,Delta Aquarids Meteor Shower,MS,,,,,
8/12/2014,8/13/2014,Perseids Meteor Shower,MS,,,,,
9/23/2014,9/23/2014,September Equinox,E,,,,,
10/8/2014,10/8/2014,Total Lunar Eclipse,LE,,,,,
10/8/2014,10/9/2014,Draconids Meteor Shower,MS,,,,,
10/20/2014,10/21/2014,Orionids Meteor Shower,MS,,,,,
10/23/2014,10/23/2014,Partial Solar Eclipse,SE,,,,,
11/5/2014,11/6/2014,South Traurids Meteor Shower,MS,,,,,
11/17/2014,11/18/2014,Leonids Meteor Shower,MS,,,,,
12/13/2014,12/14/2014,Geminids Meteor Shower,MS,,,,,
12/22/2014,12/23/2014,Ursids Meteor Shower,MS,,,,,
1/3/2015,1/4/2015,Quadrantids Meteor Shower,MS,,,,,
3/20/2015,3/20/2015,Total Solar Eclipse,SE,,,,,
3/20/2015,3/20/2015,March Equinox,E,,,,,
4/4/2015,4/4/2015,Total Lunar Eclipse,LE,,,,,
4/22/2015,4/23/2015,Lyrids Meteor Shower,MS,,,,,
5/5/2015,5/6/2015,Eta Aquarids Meteor Shower,MS,,,,,
7/28/2015,7/29/2015,Delta Aquarids Meteor Shower,MS,,,,,
8/12/2015,8/13/2015,Perseids Meteor Shower,MS,,,,,
9/13/2015,9/13/2015,Partial Solar Eclipse,SE,,,,,
9/23/2015,9/23/2015,September Equinox,E,,,,,
9/28/2015,9/28/2015,Total Lunar Eclipse,LE,,,,,
10/8/2015,10/8/2015,Draconids Meteor Shower,MS,,,,,
10/21/2015,10/22/2015,Orionids Meteor Shower,MS,,,,,
11/5/2015,11/6/2015,Traurids Meteor Shower,MS,,,,,
11/17/2015,11/18/2015,Leonids Meteor Shower,MS,,,,,
12/13/2015,12/14/2015,Geminids Meteor Shower,MS,,,,,
12/21/2015,12/22/2015,Ursids Meteor Shower,MS,,,,,
1/3/2016,1/4/2016,Quadrantids Meteor Shower,MS,,,,,
3/9/2016,3/9/2016,Total Lunar Eclipse,LE,,,,,
3/20/2016,3/20/2016,March Equinox,E,,,,,
3/23/2016,3/23/2016,Penumbral Lunar Eclipse,LE,,,,,
4/21/2016,4/22/2016,Lyrids Meteor Shower,MS,,,,,
5/5/2016,5/6/2016,Eta Aquarids Meteor Shower,MS,,,,,
7/28/2016,7/29/2016,Delta Aquarids Meteor Shower,MS,,,,,
8/11/2016,8/12/2016,Perseids Meteor Shower,MS,,,,,
9/1/2016,9/1/2016,Annular Solar Eclipse,SE,,,,,
9/16/2016,9/16/2016,Penumbral Lunar Eclipse,LE,,,,,
9/22/2016,9/22/2016,September Equinox,E,,,,,
10/7/2016,10/7/2016,Draconids Meteor Shower,MS,,,,,
10/21/2016,10/22/2016,Orionids Meteor Shower,MS,,,,,
11/4/2016,11/5/2016,Traurids Meteor Shower,MS,,,,,
11/17/2016,11/18/2016,Leonids Meteor Shower,MS,,,,,
12/13/2016,12/14/2016,Geminids Meteor Shower,MS,,,,,
12/21/2016,12/22/2016,Ursids Meteor Shower,MS,,,,,
1/3/2017,1/4/2017,Quadrantids Meteor Shower,MS,,,,,
2/11/2017,2/11/2017,Penumbral Lunar Eclipse,LE,,,,,
2/26/2017,2/26/2017,Annular Solar Eclipse,SE,,,,,
3/20/2017,3/20/2017,March Equinox,E,,,,,
4/21/2017,4/22/2017,Lyrids Meteor Shower,MS,,,,,
5/6/2017,5/7/2017,Eta Aquarids Meteor Shower,MS,,,,,
7/27/2017,7/28/2017,Delta Aquarids Meteor Shower,MS,,,,,
8/7/2017,8/7/2017,Partial Lunar Eclipse,LE,,,,,
8/11/2017,8/12/2017,Perseids Meteor Shower,MS,,,,,
8/21/2017,8/21/2017,Total Solar Eclipse,SE,,,,,
9/22/2017,9/22/2017,September Equinox,E,,,,,
10/8/2017,10/8/2017,Draconids Meteor Shower,MS,,,,,
10/21/2017,10/22/2017,Orionids Meteor Shower,MS,,,,,
11/4/2017,11/5/2017,Traurids Meteor Shower,MS,,,,,
11/17/2017,11/18/2017,Leonids Meteor Shower,MS,,,,,
12/13/2017,12/14/2017,Geminids Meteor Shower,MS,,,,,
12/21/2017,12/22/2017,Ursids Meteor Shower,MS,,,,,
1/3/2018,1/4/2018,Quadrantids Meteor Shower,MS,,,,,
1/31/2018,1/31/2018,Total Lunar Eclipse,LE,,,,,
2/15/2018,2/15/2018,Partial Solar Eclipse,SE,,,,,
3/20/2018,3/20/2018,March Equinox,E,,,,,
4/22/2018,4/23/2018,Lyrids Meteor Shower,MS,,,,,
5/6/2018,5/7/2018,Eta Aquarids Meteor Shower,MS,,,,,
7/13/2018,7/13/2018,Partial Solar Eclipse,SE,,,,,
7/27/2018,7/27/2018,Total Lunar Eclipse,LE,,,,,
7/28/2018,7/29/2018,Delta Aquarids Meteor Shower,MS,,,,,
8/11/2018,8/11/2018,Partial Solar Eclipse,SE,,,,,
8/12/2018,8/13/2018,Perseids Meteor Shower,MS,,,,,
9/23/2018,9/23/2018,September Equinox,E,,,,,
10/8/2018,10/8/2018,Draconids Meteor Shower,MS,,,,,
10/21/2018,10/22/2018,Orionids Meteor Shower,MS,,,,,
11/5/2018,11/6/2018,Taurids Meteor Shower,MS,,,,,
11/17/2018,11/18/2018,Leonids Meteor Shower,MS,,,,,
12/13/2018,12/14/2018,Geminids Meteor Shower,MS,,,,,
12/21/2018,12/22/2018,Ursids Meteor Shower,MS,,,,,
1/3/2019,1/4/2019,Quadrantids Meteor Shower,MS,,,,,
1/6/2019,1/6/2019,Partial Solar Eclipse,SE,,,,,
1/21/2019,1/21/2019,Total Lunar Eclipse,LE,,,,,
3/21/2019,3/21/2019,March Equinox,E,,,,,
4/22/2019,4/23/2019,Lyrids Meteor Shower,MS,,,,,
5/6/2019,5/7/2019,Eta Aquarids Meteor Shower,MS,,,,,
7/2/2019,7/2/2019,Total Solar Eclipse,SE,,,,,
7/16/2019,7/16/2019,Partial Lunar Eclipse,LE,,,,,
7/28/2019,7/29/2019,Delta Aquarids Meteor Shower,MS,,,,,
8/12/2019,8/13/2019,Perseids Meteor Shower,MS,,,,,
9/23/2019,9/23/2019,September Equinox,E,,,,,
10/8/2019,10/8/2019,Draconids Meteor Shower,MS,,,,,
